4b42 Internet Exchange Point	185.1.125.0/24
6NGIX	203.254.32.0/24
AAIX	193.37.144.0/24
ACTIX	218.100.59.0/24
A.IX	185.1.108.0/24
A-IX	192.168.51.0/30
AKL-IX	43.243.21.0/24
Aloha-IX	206.53.207.0/25
Aloha-IX	206.53.207.128/25
AMR-IX	103.115.147.0/24
AMS-IX	80.249.208.0/21
AMS-IX BA	206.41.106.0/24
AMS-IX Caribbean	200.0.20.0/24
AMS-IX Chicago	206.108.115.0/24
AMS-IX HK	103.247.139.0/24
AMS-IX Hong Kong	103.247.139.0/25
AMS-IX India	223.31.200.0/24
Angola IXP	196.223.1.0/24
Angola IXP	196.49.6.0/24
angonix	196.11.234.0/24
ANI-IX Delhi	163.53.87.0/24
ANI-IX Delhi	45.248.172.0/24
ANI-IX Delhi	45.248.174.0/24
ANIX - Albanian Neutral Internet eXchange	185.1.100.0/24
Any2 California	206.223.143.0/24
APE	192.203.154.0/24
APLIX	185.42.185.0/24
ARMIX	91.218.4.0/24
ArmIX	91.218.7.0/25
Asia Smart IX [BBIX Asia]	103.203.156.0/23
Asteroid Amsterdam	185.1.94.0/24
AUSIX	218.100.1.0/24
AuvernIX	185.1.2.0/24
AZIX	206.223.120.0/24
BAIKAL-IX	185.1.76.0/24
Balcan-IX	80.97.248.0/23
Baltimore IX	206.81.105.0/24
BALT-IX	77.241.206.0/24
BatamIX	27.124.87.0/24
BAYANTEL	202.78.121.0/24
BBIX	218.100.6.0/24
BBIX	218.100.7.0/24
BBIX Hong Kong	103.203.158.0/23
BBIX Osaka	218.100.9.0/24
BBIX Singapore	103.231.152.0/22
BBIX Thailand	103.127.88.0/23
BBIX Tokyo	218.100.6.0/23
BCIX	193.178.185.0/24
BDIX	198.32.167.0/24
BDIXP	154.73.42.0/24
BeirutIX	198.32.157.0/24
BelgiumIX	185.1.127.0/24
BENIN-IX	196.223.40.0/24
BFIX	196.13.207.128/26
BFIX Burkina Faso	196.223.47.0/24
Bharat IX - Mumbai	103.105.218.0/24
BHNIX	185.1.133.0/24
BigApe	198.32.238.0/24
BINX	192.168.179.0/24
BIX	10.31.2.0/24
B-IX	185.1.30.0/24
BIX	193.156.125.0/24
BiX	193.188.137.0/24
B-IX	217.174.157.0/24
BIX Bergen	185.1.65.128/27
BIX.BG	193.169.198.0/23
BIX Jakarta	218.100.41.0/24
BKNIX	203.159.68.0/23
BNIIX	206.130.61.0/24
BNIX	194.53.172.0/24
BOR-IX	195.60.81.0/26
Boston Internet Exchange	206.108.236.0/24
BreizhIX	185.1.89.0/24
BREM-IX	185.1.35.0/24
BrestIX	185.1.149.0/24
BR-IX	185.1.25.0/24
btIX	103.129.62.0/26
BW-IX Karlsruhe	185.1.61.0/24
BW-IX Stuttgart / S-IX	193.138.31.0/24
BY-IX	195.137.180.0/24
C2IX	218.100.72.0/23
CABASE-BHB - IX Argentina (Bahia Blanca)	200.14.37.0/24
CABASE-BRC - IX Argentina (Bariloche)	200.115.85.0/24
CABASE-BUE - IX Argentina (Buenos Aires)	200.0.17.0/24
CABASE-COR - IX Argentina (Cordoba)	200.14.75.0/24
CABASE-DLC - IX Argentina (Santa Teresita)	200.14.39.0/24
CABASE-JUJ - IX Argentina (Jujuy)	138.204.250.0/24
CABASE-JUN - IX Argentina (Junin)	200.115.80.0/24
CABASE-LPL - IX Argentina (La Plata)	200.115.81.0/24
CABASE-MDQ - IX Argentina (Mar del Plata)	200.115.82.0/24
CABASE-MZA - IX Argentina (Mendoza)	200.14.38.0/24
CABASE-NGB - IX Argentina (Pilar)	138.204.247.0/24
CABASE-NQN - IX Argentina (Neuquen)	200.0.19.0/24
CABASE-OGB - IX Argentina (Moreno)	138.204.254.0/24
CABASE-PER - IX Argentina (Pergamino)	138.204.245.0/24
CABASE-PMY - IX Argentina (Puerto Madryn)	200.115.84.0/24
CABASE-POS - IX Argentina (Posadas)	200.115.83.0/24
CABASE-ROS - IX Argentina (Rosario)	200.13.83.0/24
CABASE-RST - IX Argentina (Resistencia)	138.204.253.0/24
CABASE-SFE - IX Argentina (Santa Fe)	200.14.74.0/24
CABASE-SLT - IX Argentina (Salta)	138.204.249.0/24
CABASE-SLU - IX Argentina (San Luis)	138.204.244.0/24
CABASE-SZP - IX Argentina (Saenz Peña)	138.204.248.0/24
CABASE-TDL - IX Argentina (Tandil)	138.204.251.0/24
CABASE-TUC - IX Argentina (Tucuman)	138.204.246.0/24
CABASE-UAQ - IX Argentina (San Juan)	138.204.255.0/24
CABASE-VDM - IX Argentina (Viedma)	201.182.128.0/24
CAIX	81.21.96.0/24
CAMIX	196.60.6.0/24
CAMIX Douala	196.49.38.128/25
CAMIX Yaounde	196.49.38.0/25
CAS-IX	169.255.176.0/22
CATNIX	193.242.98.0/24
CBIX	195.60.89.0/24
CCCAMP-IX	185.236.243.0/24
CDIX	103.30.172.0/24
CentralIX	185.1.60.0/24
CePIX.pl	193.8.61.192/26
CFiX (Central Florida Internet Exchange)	206.80.235.0/24
CGIX	197.255.191.0/24
Charlotte-IX	206.71.143.0/24
ChIX	206.41.110.0/24
CHIX-CH	185.1.59.0/24
CHIX-NZ	218.100.24.0/24
CHN-IX Beijing	106.48.34.0/23
CHN-IX Guangzhou	106.48.36.0/23
CHN-IX Shanghai	106.48.38.0/23
CINX	196.223.22.0/24
CINX	196.223.23.0/24
CitranetIX	103.101.136.0/24
CIVIX	196.223.4.0/24
CIVIX	196.49.0.0/24
CIX	185.1.87.0/24
CIX-ATL	206.71.12.0/24
CIX KR	93.159.151.0/24
CIXP	192.65.185.0/24
CLOUD-IX EKT	31.28.29.0/24
CLOUD-IX KHA	31.28.26.0/24
CLOUD-IX KIEV	31.28.16.0/24
CLOUD-IX MSK	31.28.19.0/24
CLOUD-IX SPB	31.28.18.0/24
CLOUD-IX VRJ	31.28.17.0/24
cloudXchange	103.225.171.0/24
CMH-IX	206.82.108.0/24
Cnean	101.251.128.0/22
CNIX	103.216.40.0/23
CN-IX-BJ	144.48.88.0/24
CN-IX-GZ	103.40.222.0/24
CN-IX-SH	43.249.135.0/24
CNX	103.7.144.0/26
CNX-v4-1	103.7.144.0/24
CODIX	185.1.23.0/24
COIX	206.197.131.0/24
COIX	206.197.131.11/24
Community-IX	185.1.74.0/26
Community-IX.ch	185.1.105.0/24
Community-IX Vienna	185.1.147.0/24
CoreSite - Any2 Boston	206.51.42.0/24
CoreSite - Any2 California	206.72.210.0/23
CoreSite - Any2 Chicago	206.51.43.0/24
CoreSite - Any2 Denver 	206.51.46.0/24
CoreSite - Any2 Miami	206.51.44.0/24
CoreSite - Any2 New York	206.51.45.0/24
CoreSite - Any2 NorthEast	206.51.40.0/24
CoreSite - Any2 Silicon Valley	206.51.41.0/24
Crimea IX	193.34.200.0/24
Crimea-IX	91.194.162.0/24
CRIX	200.107.83.0/24
CSL Thai-IX Bangkok	27.254.196.0/23
CSL Thai-IX Malaysia	27.254.16.0/23
CSL Thai-IX Singapore	27.254.18.0/23
CyIX	193.22.30.0/24
CyrusOne IX Austin	198.32.145.0/24
CyrusOne IX Chicago	198.32.165.0/24
CyrusOne IX Dallas	198.32.130.0/24
CyrusOne IX Houston	198.32.96.0/23
CyrusOne IX Phoenix	198.32.98.0/24
CyrusOne IX San Antonio	198.32.164.0/24
CyrusOne IX Sterling	198.32.166.0/23
DACS-IX East	206.83.44.0/24
Dallas-IX	206.71.139.0/24
DATAIX	178.18.224.0/22
DATAIX	178.18.226.0/23
DATAIX	178.18.228.0/23
DATAIX	178.18.230.0/24
DATAIX	178.18.231.0/24
DATAIX	178.18.232.0/24
DATAIX	178.18.233.0/24
DATAIX	178.18.235.0/24
DataLine-IX	185.1.52.0/24
DE-CIX Chennai	103.228.155.0/24
DE-CIX Dallas	206.53.202.0/24
DE-CIX Delhi	103.228.154.0/24
DE-CIX Dusseldorf	185.1.58.0/24
DE-CIX Frankfurt	80.81.192.0/21
DE-CIX Hamburg	80.81.203.0/24
DE-CIX Istanbul	185.1.48.0/24
DE-CIX Lisbon	185.1.131.0/24
DE-CIX Madrid	185.1.68.0/24
DE-CIX Marseille	185.1.47.0/24
DE-CIX Munich	80.81.202.0/24
DE-CIX New York	206.130.10.0/24
DE-CIX New York	206.82.104.0/22
DE-CIX Palermo	185.1.46.0/24
DET-IX	209.124.52.0/23
Digital Realty Ashburn	206.83.10.0/24
Digital Realty Atlanta	198.32.132.0/24
Digital Realty Chicago	206.83.11.0/24
Digital Realty Dallas	206.126.114.0/24
Digital Realty New York	206.126.115.0/24
Digital Realty Phoenix	198.32.186.0/24
DINX	196.223.30.0/24
DIX	192.38.7.0/24
DIX	198.32.209.0/24
DIX-IE	202.249.2.0/24
DjIX	196.223.38.0/24
DN-IX	193.34.203.0/25
Doha-IX	198.32.72.0/24
DO-IX	185.1.18.0/24
DominicaIX	206.53.141.0/27
DPE	218.100.23.0/24
DRF IX	206.197.210.0/24
DTEL-IX	193.25.180.0/23
Duoala IX	196.49.38.0/24
DV-IX	185.1.118.0/24
Echigo-IX	58.84.254.0/23
ECIX-BER	194.9.117.0/24
ECIX-DUS	194.146.118.0/24
ECIX-FRA	62.69.146.0/23
ECIX-HAM	193.42.155.0/24
ECIX-MUC / INXS by ecix	194.59.190.0/24
EdgeIX - Adelaide	103.136.101.0/25
EdgeIX - Darwin	103.136.100.0/25
EdgeIX - Hobart	103.136.100.128/25
EdgeIX - Perth	103.136.102.0/24
EMF-IX	185.230.223.192/26
EnfidhaIX	41.231.34.0/26
EPIX.Katowice	178.216.40.0/21
EPIX.Warszawa-KIX	89.46.144.0/21
Equinix Amsterdam	185.1.112.0/24
Equinix Ashburn	206.126.236.0/22
Equinix Atlanta	198.32.182.0/24
Equinix Barcelona	185.1.143.0/24
Equinix Barcelona	87.108.41.96/27
Equinix Bogota	208.115.128.0/24
Equinix Chicago	208.115.136.0/23
Equinix Dallas	206.223.118.0/23
Equinix Denver	198.32.114.0/24
Equinix Dublin	185.1.109.0/24
EQUINIX-ED-NYC	206.197.169.0/24
Equinix Frankfurt	185.1.102.0/24
Equinix Helsinki	185.1.86.0/24
Equinix Hong Kong	119.27.63.0/24
Equinix Hong Kong	36.255.56.0/22
Equinix Houston	198.32.135.0/24
Equinix IBX Dallas	206.223.118.0/24
Equinix IBX San Jose	206.223.116.0/24
Equinix IBX Secaucus	206.223.117.0/24
Equinix Lisbon	185.1.116.0/24
Equinix London	185.1.104.0/24
Equinix Los Angeles	206.223.123.0/24
Equinix Madrid	185.1.22.0/24
Equinix Manchester	185.1.101.0/24
Equinix Melbourne	183.177.61.0/24
Equinix Miami (formerly NOTA)	198.32.124.0/23
Equinix Miami (formerly NOTA)	198.32.242.0/23
Equinix Milan	185.1.106.0/24
Equinix New York	198.32.118.0/24
Equinix New York	198.32.119.0/24
Equinix NY	206.223.131.0/24
Equinix Osaka	203.190.227.0/24
Equinix Palo Alto	198.32.175.0/24
Equinix Palo Alto	198.32.176.0/24
Equinix Palo Alto	198.32.177.0/24
Equinix Paris	195.42.144.0/23
Equinix Perth	101.97.43.0/24
Equinix San Jose	206.223.116.0/23
Equinix São Paulo	198.32.122.0/24
Equinix São Paulo	64.191.232.0/22
Equinix Seattle	198.32.133.0/24
Equinix Seattle	198.32.134.0/24
Equinix Seoul	103.140.210.0/24
Equinix Singapore	27.111.228.0/22
Equinix Stockholm	185.1.107.0/24
Equinix Sydney	45.127.172.0/22
Equinix Tokyo	203.190.230.0/24
Equinix Tokyo	203.190.230.0/25
Equinix Toronto	198.32.181.0/24
