36C3-YOLOIXP	185.236.243.0/24
48 IX	149.112.3.0/24
4b42 Internet Exchange Point	185.1.125.0/24
6NGIX	203.254.32.0/24
AAIX	193.37.144.0/24
ABQIX	206.83.42.0/24
ACTIX	218.100.59.0/24
A.IX	185.1.108.0/24
A-IX	192.168.51.0/30
AIX-BD	103.125.54.0/23
AKL-IX (Auckland NZ)	43.243.21.0/24
Aloha-IX	206.53.207.0/25
AMR-IX	103.115.147.0/24
AMS-IX	80.249.208.0/21
AMS-IX BA	206.41.106.0/24
AMS-IX Caribbean	200.0.20.0/24
AMS-IX Chicago	206.108.115.0/24
AMS-IX HK	103.247.139.0/24
AMS-IX Hong Kong	103.247.139.0/25
AMS-IX Mumbai	223.31.200.0/24
Angola IXP	196.223.1.0/24
Angola IXP	196.49.6.0/24
angonix	196.11.234.0/24
ANI-IX Delhi	163.53.87.0/24
ANI-IX Delhi	45.248.172.0/24
ANI-IX Delhi	45.248.174.0/24
ANIX	185.1.100.0/24
ANIX	185.1.100.0/25
Any2 Boston	206.51.42.0/24
Any2 California	206.223.143.0/24
Any2Chicago	206.51.43.0/24
Any2Denver	206.51.46.0/24
Any2East	206.51.40.0/24
Any2Miami	206.51.44.0/24
Any2 NorCal	206.51.41.0/24
Any2 NY	206.51.45.0/24
Any2West	206.72.210.0/23
APE	192.203.154.0/24
Aperture-IX	103.152.35.0/24
APLIX	185.42.185.0/24
Aqaba IX	84.252.106.0/24
ARIX	44.190.42.0/24
ARMIX	91.218.4.0/24
ArmIX	91.218.7.0/25
Asia Smart IX [BBIX Asia]	103.203.156.0/23
Asteroid Amsterdam	185.1.94.0/24
Asteroid Mombasa	196.60.66.0/24
AUSIX	218.100.1.0/24
AuvernIX	185.1.2.0/24
AZIX	206.223.120.0/24
BAIKAL-IX	185.1.76.0/24
Balcan-IX	80.97.248.0/23
Balcan-IX	80.97.248.0/24
Baltimore IX	206.81.105.0/24
BALT-IX	77.241.206.0/24
BatamIX Batam	27.124.88.0/24
BatamIX Jakarta	27.124.87.0/24
BAYANTEL	202.78.121.0/24
BBIX	218.100.6.0/24
BBIX	218.100.7.0/24
BBIX Amsterdam	101.203.78.0/24
BBIX Chicago	101.203.75.0/24
BBIX Dallas	101.203.73.0/24
BBIX Hong Kong	103.203.158.0/23
BBIX London	101.203.76.0/24
BBIX Los Angeles	101.203.74.0/24
BBIX Marseille	101.203.77.0/24
BBIX Miami	101.203.72.0/24
BBIX Osaka	218.100.9.0/24
BBIX Singapore	103.231.152.0/22
BBIX Thailand	103.127.88.0/23
BBIX Tokyo	218.100.6.0/23
BCIX	193.178.185.0/24
BDIX	103.151.196.0/23
BDIX	198.32.167.0/24
BDIXP	154.73.42.0/24
BDX BTN1	185.1.33.0/24
BéarnIX	185.1.169.0/24
BeirutIX	198.32.157.0/24
Beirut IX	198.32.157.0/25
BelgiumIX	185.1.127.0/24
BENIN-IX	196.223.40.0/24
BFD-IX	185.1.136.0/24
BFIX Bobo-Dioulasso	196.60.76.0/24
BFIX Ouagadougou	196.223.47.0/24
BFIX-OUAGA IPv4	196.13.207.128/26
Bharat IX - Mumbai	103.105.218.0/24
BHNIX	185.1.133.0/24
BigApe	198.32.238.0/24
BINX	192.168.179.0/24
BIX	10.31.2.0/24
