# num asns 1125
# squat_asn squat_dod_ip
9541 11.11.2.1
7018 11.5.19.79
11172 11.1.0.1
4808 11.1.1.60
20115 7.28.205.5
812 7.11.170.121
3549 11.15.194.29
19108 11.104.73.25
201321 11.0.0.1
7992 11.0.0.123
5432 22.106.115.0
139870 11.13.33.1
14061 7.104.0.0
45102 11.52.240.37
8075 22.57.160.1
5432 22.106.5.9
327933 11.11.11.1
7018 7.7.2.102
812 7.11.166.53
268899 11.0.3.129
4773 11.11.11.11
9299 11.0.13.0
7018 11.10.29.1
7922 11.104.51.57
20115 22.31.240.1
45582 11.14.127.1
8151 11.22.33.254
50710 11.16.0.1
24444 22.22.22.0
36997 22.68.26.77
812 7.11.165.185
7922 11.168.1.1
5432 22.107.149.238
81 11.3.3.254
5432 22.107.199.0
45102 11.207.68.46
3549 11.43.42.1
37963 11.57.52.218
4134 11.11.172.0
37963 11.138.253.0
812 7.11.165.73
25019 11.11.12.1
45458 11.29.46.1
135478 11.0.0.0
11686 11.11.255.254
22773 11.0.0.1
10796 7.20.76.2
45102 11.52.252.121
4837 22.22.22.0
174 11.26.26.0
5432 22.106.107.0
30689 11.11.11.254
24560 11.11.11.0
37963 11.98.105.0
36590 7.110.128.1
7497 11.0.0.0
7018 11.91.1.1
45102 11.89.122.102
5432 22.106.120.0
12741 11.77.177.1
3786 7.7.7.1
1221 11.100.0.2
7590 11.101.11.17
45102 11.48.56.74
5432 22.107.67.1
45102 11.206.95.0
27843 11.1.10.129
33588 22.0.128.1
37963 11.220.5.0
12353 11.11.11.2
8452 11.0.243.204
8400 11.11.156.0
136907 11.22.97.25
24445 11.11.11.254
16342 11.10.0.1
812 7.11.169.73
9905 11.5.50.1
9031 22.107.133.118
18229 11.12.13.0
45629 11.0.0.1
29695 11.22.33.100
37564 11.1.1.1
327907 11.11.11.254
5432 22.107.89.0
812 7.11.167.229
4795 11.24.101.0
4761 11.19.233.1
134542 11.205.80.146
37963 11.110.79.0
174 11.11.2.1
11427 11.100.0.2
264825 11.7.2.0
3302 11.1.228.0
30844 11.11.11.11
4812 11.48.48.0
34984 22.9.254.0
3067 11.12.12.5
7922 11.11.2.1
8075 22.19.171.1
269308 11.0.0.5
28669 11.0.0.1
5650 11.1.11.1
264605 11.0.0.1
7922 11.11.30.1
8151 11.1.1.0
4808 11.94.132.123
12576 11.10.10.1
56041 11.11.0.2
7018 11.10.10.1
47794 7.7.7.1
138536 11.22.33.5
268321 11.0.0.1
6739 11.50.11.0
7713 11.12.82.0
812 7.11.171.1
8075 22.33.112.1
27696 11.11.1.1
20115 22.63.33.129
4809 11.1.251.83
22773 11.20.1.1
23930 11.11.9.0
23951 7.7.7.1
25255 11.0.0.254
37963 11.222.252.150
1221 22.143.14.1
33588 22.0.0.1
812 7.11.170.221
62802 11.16.0.82
8048 22.22.100.0
5432 22.107.195.81
4812 22.107.213.45
5713 11.2.156.253
3549 11.5.50.0
17639 11.168.0.1
5432 22.107.1.37
5432 22.106.86.137
9341 11.160.11.2
134810 11.11.11.1
4847 22.22.22.1
7018 7.17.7.7
134875 11.11.0.1
8003 11.100.0.0
45102 11.207.68.42
5432 22.106.25.41
812 7.11.166.17
20207 11.11.11.2
27699 11.0.3.69
3549 11.15.194.0
4812 11.56.8.2
23969 11.11.11.1
812 7.11.166.189
12874 11.0.0.6
5432 22.107.106.0
328146 11.12.17.1
45763 11.110.10.1
43343 11.0.0.1
6848 22.106.33.81
204170 11.11.11.1
4837 11.11.11.1
812 7.11.170.61
9299 11.7.7.1
3320 11.168.178.1
25019 7.8.5.161
9299 11.16.2.182
4134 11.17.0.0
11492 11.104.22.177
1221 22.151.74.1
701 11.0.1.7
2611 22.107.147.17
812 7.11.167.209
17727 11.11.20.1
16700 22.9.224.1
51407 11.10.0.1
45102 11.222.150.42
45102 11.52.240.41
58504 11.11.254.1
270009 11.33.1.1
3356 7.0.50.12
9116 11.12.13.254
812 7.11.166.117
5432 22.107.6.0
3209 11.52.88.0
28378 11.12.13.1
23655 11.64.4.2
18229 11.11.13.1
20115 11.0.0.1
59164 11.11.125.1
5432 22.107.89.245
1136 11.33.176.1
22773 11.1.1.2
3356 22.72.136.137
18046 11.208.0.0
3741 11.88.224.1
5432 22.107.182.173
8447 11.0.0.254
10834 11.195.170.0
264628 11.0.50.0
43766 11.11.1.1
9198 11.11.11.1
270009 11.33.1.0
5650 11.119.251.89
12741 11.77.177.162
9299 11.28.19.90
9269 11.11.11.11
20001 11.11.33.1
45758 11.0.106.1
20115 22.40.16.0
37963 11.219.127.138
812 7.11.165.213
7922 7.232.1.1
812 7.11.167.37
17816 11.221.192.0
4837 11.89.7.109
7922 7.169.172.129
18002 11.11.11.1
