#Field:count	sourceIPCount	endUserASN
341381	84	4755
5778	13	17882
42	6	18159
198	1	19151
60	4	22047
4	3	40676
6904	26	45410
122	2	52260
2859	48	59362
57	2	133006
2399	7	133075
2	1	138556
3766	1	262570
20	1	15582
1	1	17563
3214732	85	22616
47	1	33964
4	1	38547
40	1	51590
88	1	62011
415	7	131444
43	3	141474
4	1	263790
1	1	266983
14874	8	4049
31984	156	6128
181	5	6453
492	10	6739
1	1	10921
45	1	23601
5362	1	35549
111	7	43766
92	2	60426
1167	87	131717
15326	2	133090
17	6	133287
10654	1	133915
1570	2	134238
2	1	141077
50	2	203689
55	1	266345
56989	2	3561
1163	1	4583
34	2	6157
11581	6	13692
198	9	18207
6733	22	27017
88	2	31126
593	8	38875
5119	2	49229
290239	1	54747
39	2	57269
1097	1	60257
3	1	64307
1535	1	134372
1	1	135181
573	1	135288
190	5	136480
106	1	136803
20	3	137653
65	6	138320
55	3	139711
2813	4	262207
172	3	263327
761	2	270058
1337	15	3269
10823	172	9245
40731	421	17465
5	2	19254
307	1	22186
12	1	28458
24	1	40631
3	2	58065
51	4	63493
439	1	133101
9	2	133354
4884	11	134294
162	6	135517
6	2	138384
281	18	138557
439	10	140732
133	10	199276
108	2	201874
7	1	263456
715	5	266802
333	2	3855
10	1	6042
436	2	7049
111	1	10821
393	1	18219
85	2	38197
30	1	39577
237	6	46269
7	3	59156
102	3	133854
969	18	136719
4	1	137692
105	16	206119
23791	2	1239
20166	3	3300
9	2	4764
1315	12	4766
117	4	11556
208	13	18196
415	1	24373
85	1	24677
10	1	31205
42	1	52280
12	1	52503
95	3	58590
343	1	132443
6	1	134946
2	1	136419
172	5	140608
494	2	264696
3	2	668
4	1	7991
17	11	9541
189	2	23487
462	1	33042
4	1	33070
371	10	52228
8	1	54600
1869	20	58966
142	3	133756
17	4	134837
338	1	135332
5	1	141051
12	1	13156
16	1	16169
543	3	16326
264	1	21088
28	1	26190
5	1	37123
25	8	45498
1	1	139549
222	1	203877
182	42	17557
1	1	21513
10	1	22883
317	1	26478
1827	1	35313
2	2	38713
8	1	43885
6	2	45184
7331	8	45458
16	1	135724
25	2	136336
46	1	136620
416	13	136639
45431	3	2510
294	7	7470
5467	9	9503
10445	3	9989
180	6	11342
6088	3	11985
58	1	18872
6	1	24492
40	2	28080
3625	1	30383
357	4	45079
263	5	58594
79	1	131210
26	2	134884
6561	23	136200
48	1	263140
3	1	268494
960	2	564
772	6	4058
166016	30	4515
828	4	7459
2697	3	17145
238	1	20477
133	16	38500
1089	2	136271
141	2	137570
263	4	202940
2222752	151	1226
2	1	1540
32143	9	3741
17	1	4621
9	1	9321
8	1	42926
3	1	43722
91	2	45289
1	1	133007
9300	63	133590
940	22	136557
105	1	136965
3	1	138084
99	3	269351
28	1	2152
8275	816	7713
38	3	8374
274	1	10242
2294	1	20018
331	3	21050
178	1	21541
34	1	24023
220	1	33353
1	1	46562
235	11	55693
604	18	131090
98	1	134178
569	1	136493
6	5	138612
17	3	263276
11	2	267685
13	9	8048
8	1	9370
951	4	14115
24	1	14345
21444	294	17623
18478	18	17676
20282	100	18229
104	1	27708
10	1	28126
18	1	29091
1	1	45224
51239	11	51964
2318	1	56307
3	1	59274
9546	2	62929
1	1	137693
400	21	137889
75	21	138651
53	1	262197
283	1	264654
51	1	327950
4579	1	12843
95	5	17469
94	1	17739
1175	1	18666
2	1	54215
2453	239	55990
224	31	63859
6	1	134945
3	1	135480
62	2	135722
4	1	137260
70	1	137540
2	1	141194
840	1	266875
146	1	394451
3	1	12797
2721	4	14051
2139	1	18530
28	5	45769
312831	3	64096
1768	1	133739
7	2	134659
11	1	135090
44	8	137580
42	1	199270
2821	10	327987
172	1	11478
8097	1	11540
2825	5	23243
7551	8	28716
75	3	49136
30	1	59443
33	10	262854
8	1	1741
256	2	3488
130	1	7403
2	2	10310
2513	4	24863
2387	13	30036
12	1	35352
4911	196	55853
7	1	60060
4	1	679
1633	1	11734
118	4	12576
7472	21	18015
242	2	19905
54	1	26801
3933	8	33915
2	2	37517
212	2	37919
6054	36	45899
424983	832	55850
38	1	131906
2	1	220
788930	346	4812
2	1	8426
435	4	8437
2	1	17911
708	10	18747
3011	33	24432
561	12	30689
784	4	33749
534	9	38235
99	5	58717
4	1	136425
13	1	138394
45	3	138694
76429	134	4847
337	1	7224
2325777	6	14762
378	1	15121
49	6	17436
308	2	17542
6442	108	24342
31	2	32098
1010	10	55555
1	1	132652
1054	6	133720
137	2	133894
29293	58	134141
18	5	139223
384	2	210309
5	1	262195
176	1	270087
382	1	397635
57	1	398391
167553	156	1221
7526	2	10032
1760	12	12083
9007	23	14259
6424	9	19739
1931	10	20057
18437	150	24323
2854	1	25562
1086	2	36534
3288	1	40154
64	1	43460
582	7	133928
3	1	135887
22634	1	201730
47	3	206798
8	1	267803
10506	1	81
140649	128	1759
190	4	7418
5	1	9812
62	3	13189
1264	27	18046
7300	3	18703
11329	1	22897
72101	22	23905
70	4	38191
173	1	63855
29	7	132165
4825	1	132526
64	2	135572
238	2	135607
4	1	138443
304	8	197897
6	1	200402
1	1	262932
2	1	263663
10503	45	1749
1116	1	4473
1	1	17539
453	1	23465
1	1	32489
1	1	38011
16	3	51407
4	3	51430
15	2	52286
17	2	63957
20	5	132947
81	1	136592
105	4	140847
2	1	141326
5	1	395632
6361	7	719
48	2	6535
13108425	12	9619
12	1	9814
2	1	14463
6	1	17405
1	1	25780
4	1	37075
3	1	42845
19301	255	45916
54437	277	134033
11	1	139418
8	1	139904
16	1	141262
69	3	2586
368	3	13296
46	4	19447
1611	1	26950
10	2	28536
49	1	44671
1	1	48146
6	1	51055
228	2	132829
728	16	133645
46	1	137885
71	19	199312
1	1	1506
73785	6	5488
1	1	6407
58	2	6501
713	15	12874
686	1	21817
3165	2	26579
311	12	41564
150507	270	45102
4159	6	45641
7	1	46846
1	1	131445
2	1	132344
4	4	202699
1	1	6821
7692	5	7358
6	1	7843
11	5	9329
1754	5	24005
6	1	38834
447	2	42943
13	6	58926
2	1	132351
3620	26	133878
5	2	133900
12	1	139004
170	16	24186
68	2	30039
820	2	30164
6	1	45144
1	1	52444
169	2	54614
45	3	136873
24	2	138432
2	1	198203
13901	46	3215
2	1	9937
140	1	19076
4	1	22787
1795	1	26838
1	1	28048
1	1	45499
744	36	50710
10	1	58862
2	1	134226
163	1	139822
91	7	139870
2962	12	4185
999	10	9304
740	4	11845
48	1	13237
158	1	23550
4	1	23994
1062	1	25039
5045	13	28556
83	2	45459
1212	19	45648
404	6	55524
5	2	135247
440	21	135478
3	1	136696
2	1	137704
21	4	268942
2	1	328319
7	3	132
4	2	6621
33	1	12826
82	1	21339
4	1	32342
24738	43	38794
485533	232	45267
13306	77	45536
11	1	59895
723	1	131790
1746	94	132960
31	3	133082
43	1	201321
85	1	203568
47374	7	703
8745	9	6503
661	8	8968
228368	3	10010
3823	4	11232
249	20	58558
16	2	133309
65	3	134749
95	1	138431
1777	3	263725
2	1	680
68	1	3456
283	2	6713
3057	1	14230
145	1	14363
462	1	21369
509	2	26793
185	7	27747
39	4	39010
39	1	42382
1	1	63128
6	3	132045
1147	22	135339
4814	7	137267
1	1	140849
1	1	8100
2	1	12257
26	2	17378
3097	35	17551
2	2	17726
4243	4	18566
105	1	19281
4053	1	21054
66	1	25716
16	1	27046
6	1	35110
2	1	43350
1105	15	55330
20	2	55485
28743	861	58369
23	3	132525
1	1	137396
1	1	138730
371	5	139758
14	8	140321
74	1	140546
235	4	266967
47	3	1901
33986	79	3549
1066	2	4454
28	3	17429
489697	2	38258
274	1	45677
19565	767	45804
9	2	46844
23800	75	56048
107	4	57743
