#Field:count	sourceIPCount	endUserASN
21	2	22
1912	8	100
6	1	138
1305	3	161
359	3	186
822508	344	297
1708	56	531
1890	13	571
38	7	1466
68	2	1493
224	3	1633
353	1	1733
35103	314	1736
7497	1	1751
521	145	1756
4	1	1778
1684	41	1886
19420	170	1955
306	1	1959
30	2	2036
4484	2	2129
6	1	2166
757518	8050	2510
235940	200	2544
493	28	2606
50744	41	2698
227863	410	2914
325	1	3095
7636912	58186	3215
10035	76	3221
26468	264	3450
11214	1	3459
4365	1	3654
300	2	3730
1191	2	3769
564	4	4179
2132426	8273	4181
9174	52	4307
357212	2707	4609
21883	1153	4662
2434944	3053	4755
6187419	51815	4812
2006	4	4857
71	2	5008
1368582	3	5049
1530	8	5050
636	5	5419
288527	679	5578
280	2	5638
196	1	5787
695	32	5972
58	1	6072
212	2	6118
17	4	6134
8748	26	6561
12958	44	6576
138	4	6693
72464	233	6758
1238273	54166	6805
1764	1	7257
6877	3	7448
1171126	785	7474
70394	598	7477
482	4	7496
8	1	7517
37872	65	7616
2339	9	7643
15160	28	7799
12733	37	7819
2475	1	7885
88903	482	8014
2676	20	8046
22339	57	8057
100470	1	8104
20799	46	8315
296	2	8356
15825	25	8375
5008	14	8387
9818	3	8414
8	1	8430
288416	4688	8445
10085	350	8448
18789	35	8455
440	4	8507
47485	1338	8585
199	4	8592
219	1	8609
8	3	8618
31537	81	8641
11832	259	8728
9265	58	8751
4519	3	8766
33053	71	8778
65	1	8801
6799	26	8819
1890	43	8972
7	2	9064
11701	15	9074
364	2	9128
22756	4	9253
11117	7	9308
6443	2	9468
93034	341	9484
230239	989	9583
9354	923	9615
429	8	9765
810	53	9937
90363	32	9989
212	2	10166
2208	61	10357
968	3	10616
1013	44	10715
54	1	10975
1203	4	11074
623	1	11120
18999	9	11167
80	2	11176
50474	189	11191
12055	27	11195
57836	2	11326
141	1	11339
12856	29	11398
1065	2	11435
2339	3	11490
56160	233	11666
93	1	11692
24378	56	11693
323	5	11746
11773	408	11835
31656	108	11847
854	5	11902
501	1	11959
101	1	11964
285	1	12071
6503	3	12074
143	1	12077
6	1	12082
12215	1	12092
51991	125	12127
3267	18	12183
8547	17	12222
200473	7	12229
92646	363	12231
387052	1371	12390
4296	14	12426
926	12	12466
6445	30	12571
2725	1	12589
21	1	12592
22575	57	12727
60	1	12770
1715	25	12872
10059	29	12907
29202	23	12942
62429	3753	12946
148055	79	13009
327677	11	13043
6	1	13172
4509	165	13292
1634	9	13392
7894	1	13396
1445	3	13555
9394	3	13581
629	22	13748
43	2	13762
302767	19	13778
5802	17	13793
9238	46	13940
1947	2	13992
700	4	14012
31979	1	14034
6009	5	14110
1148	11	14184
24619	88	14234
293178	94	14235
1108	1	14251
10181	1	14252
7	1	14290
1	1	14300
18009	109	14374
81519	87	14477
3853	2	14591
315	1	14699
1118	2	14734
184688	1	14799
43	5	14814
747	2	14981
3	3	15019
1104	6	15116
9180	3	15209
119	1	15260
12695	1	15303
4578	1	15314
7	1	15362
7	1	15380
28898	114	15383
1795	4	15463
1465	8	15915
2848	24	16007
2942	8	16028
