,AS,# of source IP,# of Traceroutes,Type,Feature
0,577,32.0,13628537,Squatted lenPref,lenPref
1,8151,205.0,13798390,Squatted lenPref,lenPref
2,47331,15.0,2889205,Squatted lenPref,lenPref
3,3269,15.0,4216101,Squatted lenPref,lenPref
4,7545,32.0,9195342,Squatted lenPref,lenPref
5,4538,21.0,178623,Squatted lenPref,lenPref
6,16509,107.0,9029410,Squatted lenPref,lenPref
7,11492,12.0,1796548,Squatted lenPref,lenPref
8,7738,13.0,951718,Squatted lenPref,lenPref
9,7155,3.0,497286,Squatted lenPref,lenPref
10,22773,101.0,29812846,Squatted lenPref,lenPref
11,9808,542.0,893004,Squatted lenPref,lenPref
12,45899,36.0,2137754,Squatted lenPref,lenPref
13,6147,206.0,2858738,Squatted lenPref,lenPref
14,7552,48.0,686568,Squatted lenPref,lenPref
15,39891,2.0,311604,Squatted lenPref,lenPref
16,10620,7.0,3049582,Squatted lenPref,lenPref
17,6327,11.0,7767829,Squatted lenPref,lenPref
18,16397,279.0,234166,Not Squatted lenPref,lenPref
19,28573,13.0,7356609,Squatted lenPref,lenPref
20,174,14.0,5920393,Squatted lenPref,lenPref
21,12389,1.0,1071443,Squatted lenPref,lenPref
22,4766,12.0,3171940,Squatted lenPref,lenPref
23,209,123.0,20087554,Squatted lenPref,lenPref
24,11830,17.0,1342921,Squatted lenPref,lenPref
25,30036,13.0,3480834,Squatted lenPref,lenPref
26,9498,98.0,1762566,Squatted lenPref,lenPref
27,26615,1.0,541636,Squatted lenPref,lenPref
28,9009,21.0,163247,Squatted lenPref,lenPref
29,5384,30.0,5257262,Squatted lenPref,lenPref
30,5650,63.0,9591977,Squatted lenPref,lenPref
31,34984,82.0,2352224,Squatted lenPref,lenPref
32,20115,1776.0,25707242,Squatted lenPref,lenPref
33,3216,1841.0,580209,Not Squatted lenPref,lenPref
34,4755,84.0,2701022,Squatted lenPref,lenPref
35,45090,21.0,26727,Squatted lenPref,lenPref
36,18566,4.0,46368,Squatted lenPref,lenPref
37,23969,18.0,557106,Squatted lenPref,lenPref
38,9829,76.0,1335534,Squatted lenPref,lenPref
39,37457,8.0,1062399,Squatted lenPref,lenPref
40,6079,13.0,3088568,Squatted lenPref,lenPref
41,7018,461.0,82489488,Squatted lenPref,lenPref
42,24560,45.0,5994599,Squatted lenPref,lenPref
43,9583,12.0,257455,Squatted lenPref,lenPref
44,18403,13.0,1079275,Squatted lenPref,lenPref
45,52468,73.0,308378,Squatted lenPref,lenPref
46,13999,13.0,1791629,Squatted lenPref,lenPref
47,13188,1307.0,66829,Not Squatted lenPref,lenPref
48,45609,203.0,2704272,Squatted lenPref,lenPref
49,24863,4.0,126201,Squatted lenPref,lenPref
50,7303,20.0,683358,Squatted lenPref,lenPref
51,58224,515.0,90744,Squatted lenPref,lenPref
52,3356,36.0,9353787,Squatted lenPref,lenPref
53,56041,126.0,243499,Squatted lenPref,lenPref
54,25019,26.0,1634826,Squatted lenPref,lenPref
55,6503,9.0,1157581,Squatted lenPref,lenPref
56,3209,22.0,6195111,Squatted lenPref,lenPref
57,4181,6.0,1853009,Squatted lenPref,lenPref
58,7713,816.0,4024846,Squatted lenPref,lenPref
59,61317,628.0,11506,Not Squatted lenPref,lenPref
60,8452,66.0,1074354,Squatted lenPref,lenPref
61,24955,294.0,56218,Not Squatted lenPref,lenPref
62,20057,10.0,2273672,Squatted lenPref,lenPref
63,6849,1461.0,73004,Not Squatted lenPref,lenPref
64,2516,29.0,7275693,Squatted lenPref,lenPref
65,8402,1.0,361559,Squatted lenPref,lenPref
66,24835,14.0,208746,Squatted lenPref,lenPref
67,4808,344.0,2999050,Squatted lenPref,lenPref
68,19429,6.0,1529443,Squatted lenPref,lenPref
69,3816,7.0,1092085,Squatted lenPref,lenPref
70,3549,79.0,8026528,Squatted lenPref,lenPref
71,17488,35.0,1330662,Squatted lenPref,lenPref
72,36992,12.0,130744,Squatted lenPref,lenPref
73,8376,5142.0,285581,Not Squatted lenPref,lenPref
74,56047,17.0,49439,Squatted lenPref,lenPref
75,23106,568.0,76315,Not Squatted lenPref,lenPref
76,701,207.0,38894658,Squatted lenPref,lenPref
77,6389,1456.0,647001,Not Squatted lenPref,lenPref
78,9198,2.0,431991,Squatted lenPref,lenPref
79,21299,715.0,78371,Not Squatted lenPref,lenPref
80,8551,11.0,1903660,Squatted lenPref,lenPref
81,135887,1.0,1050731,Squatted lenPref,lenPref
82,11776,6.0,1044306,Squatted lenPref,lenPref
83,7029,30.0,4904551,Squatted lenPref,lenPref
84,11664,5.0,252385,Squatted lenPref,lenPref
85,11172,8.0,2494472,Squatted lenPref,lenPref
86,36903,20334.0,375019,Not Squatted lenPref,lenPref
87,8103,1.0,1986593,Squatted lenPref,lenPref
88,855,8.0,1112065,Squatted lenPref,lenPref
89,262197,1.0,481888,Squatted lenPref,lenPref
90,385,104.0,14801,Squatted lenPref,lenPref
91,9924,1.0,244839,Squatted lenPref,lenPref
92,36351,9.0,500311,Squatted lenPref,lenPref
93,13335,1.0,15046,Squatted lenPref,lenPref
94,4837,12539.0,4148572,Squatted lenPref,lenPref
95,13977,2.0,396472,Squatted lenPref,lenPref
96,45820,34.0,533292,Squatted lenPref,lenPref
97,18101,6.0,36860,Squatted lenPref,lenPref
98,18881,21.0,1141489,Squatted lenPref,lenPref
99,9605,5863.0,898053,Not Squatted lenPref,lenPref
100,3215,46.0,9767432,Squatted lenPref,lenPref
101,3786,12.0,1139900,Squatted lenPref,lenPref
102,28202,2305.0,19475,Not Squatted lenPref,lenPref
103,12849,2.0,942728,Squatted lenPref,lenPref
104,45271,23.0,161016,Squatted lenPref,lenPref
105,55410,19.0,406999,Squatted lenPref,lenPref
106,49505,23.0,8712,Not Squatted lenPref,lenPref
107,10507,144.0,8322,Not Squatted lenPref,lenPref
108,4134,1337.0,8389004,Squatted lenPref,lenPref
