,#Field:count,sourceIPCount,endUserASN,which_data
0,2795,177,26,tracerouteasncounts
1,56141,52,808,tracerouteasncounts
2,7236,1,1751,tracerouteasncounts
3,2701022,2571,4755,tracerouteasncounts
4,194,10,5419,tracerouteasncounts
5,50,1,6118,tracerouteasncounts
6,529,9,6342,tracerouteasncounts
7,1,1,7408,tracerouteasncounts
8,36865,22,8375,tracerouteasncounts
9,878,6,9128,tracerouteasncounts
10,89062,385,12231,tracerouteasncounts
11,33014,2,12245,tracerouteasncounts
12,1,1,12871,tracerouteasncounts
13,15120,102,13428,tracerouteasncounts
14,10331,83,14234,tracerouteasncounts
15,4430,7,14723,tracerouteasncounts
16,118,5,14793,tracerouteasncounts
17,219,2,15526,tracerouteasncounts
18,30918,307,16178,tracerouteasncounts
19,204,2,16394,tracerouteasncounts
20,140222,4,16659,tracerouteasncounts
21,16,1,16706,tracerouteasncounts
22,190669,2481,17882,tracerouteasncounts
23,4715,69,18159,tracerouteasncounts
24,77,1,18294,tracerouteasncounts
25,6738,69,19151,tracerouteasncounts
26,107523,52,19994,tracerouteasncounts
27,591,5,20616,tracerouteasncounts
28,3079,2,21110,tracerouteasncounts
29,4599,4,21325,tracerouteasncounts
30,1224101,58638,22047,tracerouteasncounts
31,21,1,22204,tracerouteasncounts
32,48717,56,22402,tracerouteasncounts
33,1485,10,24810,tracerouteasncounts
34,317193,7216,25255,tracerouteasncounts
35,329,2,26192,tracerouteasncounts
36,19466,5,26638,tracerouteasncounts
37,35550,4,27240,tracerouteasncounts
38,330,1,27277,tracerouteasncounts
39,922,1,27349,tracerouteasncounts
40,4175,117,27855,tracerouteasncounts
41,1783,93,29687,tracerouteasncounts
42,2904,7,29918,tracerouteasncounts
43,3854,2,30266,tracerouteasncounts
44,30,1,30546,tracerouteasncounts
45,8,2,30681,tracerouteasncounts
46,964,12,30703,tracerouteasncounts
47,69825,6,30846,tracerouteasncounts
48,436,12,31275,tracerouteasncounts
49,32350,8345,31549,tracerouteasncounts
50,962,1,32144,tracerouteasncounts
51,22247,2,32487,tracerouteasncounts
52,2493,3,33999,tracerouteasncounts
53,5178,48,34133,tracerouteasncounts
54,3661,4,34400,tracerouteasncounts
55,2561,4,34508,tracerouteasncounts
56,841,18,34629,tracerouteasncounts
57,98,6,35714,tracerouteasncounts
58,195,8,35760,tracerouteasncounts
59,10742,2,36523,tracerouteasncounts
60,36351,2,36679,tracerouteasncounts
61,19,2,36975,tracerouteasncounts
62,2019,100,37309,tracerouteasncounts
63,3789,9,37398,tracerouteasncounts
64,1027,2,37434,tracerouteasncounts
65,38,1,37679,tracerouteasncounts
66,38,2,38328,tracerouteasncounts
67,499,2,38594,tracerouteasncounts
68,2734,4,39552,tracerouteasncounts
69,5439,44,39906,tracerouteasncounts
70,5882,372,40676,tracerouteasncounts
71,1579,10,40720,tracerouteasncounts
72,329,1,41894,tracerouteasncounts
73,6,1,42012,tracerouteasncounts
74,302,26,42626,tracerouteasncounts
75,2912,24,42638,tracerouteasncounts
76,152,1,42887,tracerouteasncounts
77,222,4,43047,tracerouteasncounts
78,834,21,43936,tracerouteasncounts
79,441,3,44019,tracerouteasncounts
80,1907,2,44129,tracerouteasncounts
81,27488,128,45410,tracerouteasncounts
82,1,1,45470,tracerouteasncounts
83,1134,31,46905,tracerouteasncounts
84,17,1,48890,tracerouteasncounts
85,1656,1,49043,tracerouteasncounts
86,154,3,49861,tracerouteasncounts
87,30,5,50161,tracerouteasncounts
88,115,2,50720,tracerouteasncounts
89,23864,275,52260,tracerouteasncounts
90,145,13,52684,tracerouteasncounts
91,218,1,53568,tracerouteasncounts
92,6300,2,53775,tracerouteasncounts
93,6370,1,55087,tracerouteasncounts
94,1,1,57071,tracerouteasncounts
95,132,1,57105,tracerouteasncounts
96,17922,413,58075,tracerouteasncounts
97,1184,6,58598,tracerouteasncounts
98,2830,54,59278,tracerouteasncounts
99,8372,160,59362,tracerouteasncounts
100,53,1,59831,tracerouteasncounts
101,1112,3,60214,tracerouteasncounts
102,84,2,61344,tracerouteasncounts
103,93,20,61728,tracerouteasncounts
104,90,1,62308,tracerouteasncounts
105,4679,4,62314,tracerouteasncounts
106,1353,3,62410,tracerouteasncounts
107,401,6,64294,tracerouteasncounts
108,1361,2,64550,tracerouteasncounts
109,1442,40,132752,tracerouteasncounts
110,15867,4,133006,tracerouteasncounts
111,23128,19,133075,tracerouteasncounts
112,1989,62,133692,tracerouteasncounts
113,514,2,134237,tracerouteasncounts
114,803,18,136014,tracerouteasncounts
115,399,3,137555,tracerouteasncounts
116,4,1,138361,tracerouteasncounts
117,50,17,138556,tracerouteasncounts
118,22,3,138884,tracerouteasncounts
119,73,4,139314,tracerouteasncounts
120,533,2,139776,tracerouteasncounts
121,125,1,139778,tracerouteasncounts
122,40,5,140541,tracerouteasncounts
123,774,25,141193,tracerouteasncounts
124,77,3,141432,tracerouteasncounts
125,2154,7,197133,tracerouteasncounts
126,21362,1,197323,tracerouteasncounts
127,132,1,198451,tracerouteasncounts
128,849,4,199020,tracerouteasncounts
129,1964,5,199937,tracerouteasncounts
130,3543,1,200861,tracerouteasncounts
131,38,1,200933,tracerouteasncounts
132,5003,2,203239,tracerouteasncounts
133,6,1,203542,tracerouteasncounts
134,486,19,203684,tracerouteasncounts
135,22,2,203944,tracerouteasncounts
136,846,3,204332,tracerouteasncounts
137,22489,1,205483,tracerouteasncounts
138,37,5,205881,tracerouteasncounts
139,10,1,209230,tracerouteasncounts
140,590,13,262372,tracerouteasncounts
141,152,23,262473,tracerouteasncounts
142,92222,1,262570,tracerouteasncounts
143,134,9,262745,tracerouteasncounts
144,802,47,263541,tracerouteasncounts
145,144,30,263742,tracerouteasncounts
146,776,42,264117,tracerouteasncounts
147,145,45,264961,tracerouteasncounts
148,1118,101,265852,tracerouteasncounts
149,376,36,265858,tracerouteasncounts
